tempo,axmpu,aympu,azmpu,gxmpu,gympu,gzmpu,mxmpu,mympu,mzmpu,axlsm,aylsm,azlsm,gxlsm,gylsm,gzlsm,mxlsm,mylsm,mzlsm,roll,pitch,yaw,temperatura_baro,pressao_baro,temperatura_pitot,pressao_pitot,RPI3 V,SERVO V,PWR V,PWR A,ADC2,ADC3,Longitude,Latitude,height_msl,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1.806358,-0.12,-0.11,10.05,0.04,0.00,0.01,40.21,10.23,-22.85,0.06,-0.11,9.72,-0.02,-0.11,0.01,26.85,-31.96,-11.43,-0.33,0.73,-0.01,33.62,953.21,24.06,-5.05,5034.00,33.00,0.00,28.00,20.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.840045,-0.16,-0.03,10.02,0.04,0.00,0.01,40.21,10.23,-22.85,0.06,-0.04,9.71,-0.02,-0.11,0.01,26.97,-32.13,-11.89,-0.34,0.74,-0.01,33.62,953.21,24.06,-5.05,5037.00,33.00,0.00,30.00,22.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.872260,-0.14,-0.09,10.09,0.04,-0.00,0.01,40.21,10.23,-22.85,0.04,-0.06,9.63,-0.03,-0.10,0.01,27.26,-30.68,-12.06,-0.34,0.74,-0.01,33.62,953.21,24.06,0.00,5034.00,33.00,0.00,30.00,24.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.906011,-0.10,-0.03,10.18,0.04,0.00,0.01,40.21,10.23,-22.85,0.11,-0.04,9.66,-0.03,-0.12,0.01,27.26,-31.44,-11.66,-0.34,0.74,-0.01,33.62,953.21,24.06,0.00,5037.00,33.00,0.00,30.00,24.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.939764,-0.18,-0.09,10.08,0.04,0.00,0.01,41.09,9.70,-21.31,0.05,-0.03,9.61,-0.03,-0.11,0.01,27.14,-31.38,-11.54,-0.34,0.75,-0.01,33.62,953.21,24.06,-5.05,5037.00,33.00,0.00,28.00,24.00,20.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.973375,-0.15,-0.10,9.92,0.04,0.01,0.01,41.09,9.70,-21.31,0.05,-0.06,9.66,-0.03,-0.11,0.00,26.62,-32.13,-12.41,-0.34,0.75,-0.01,33.62,953.21,24.06,0.00,5037.00,33.00,0.00,26.00,22.00,20.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
2.006924,-0.23,-0.03,9.99,0.04,0.00,0.01,41.09,9.70,-21.31,0.11,-0.00,9.76,-0.03,-0.11,0.00,27.20,-31.73,-11.77,-0.35,0.75,-0.01,33.62,953.21,24.06,0.00,5037.00,33.00,0.00,28.00,22.00,20.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
2.040633,-0.12,-0.00,10.02,0.04,0.01,0.01,41.09,9.70,-21.31,0.06,-0.06,9.67,-0.02,-0.11,0.01,27.32,-31.32,-11.72,-0.35,0.76,-0.01,33.62,953.21,24.06,0.00,5037.00,33.00,0.00,30.00,20.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
2.074421,-0.22,0.01,10.06,0.04,0.00,0.01,41.45,11.11,-23.36,0.03,-0.04,9.57,-0.03,-0.11,0.00,27.38,-31.49,-11.31,-0.36,0.76,-0.01,33.62,953.21,24.06,-5.05,5031.00,33.00,0.00,28.00,22.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
2.106520,-0.21,-0.05,9.98,0.04,0.00,0.01,41.45,11.11,-23.36,0.07,-0.03,9.66,-0.03,-0.11,0.01,28.07,-31.32,-11.60,-0.36,0.76,-0.02,33.62,953.21,24.06,-5.05,5034.00,33.00,0.00,28.00,22.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
2.141127,-0.15,-0.14,10.02,0.04,0.00,0.01,41.45,11.11,-23.36,0.01,-0.06,9.69,-0.03,-0.11,0.01,27.26,-31.73,-11.37,-0.36,0.77,-0.02,33.62,953.21,24.06,-5.05,5034.00,33.00,0.00,30.00,20.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
2.174411,-0.14,-0.06,10.02,0.04,0.00,0.01,41.45,11.11,-23.36,0.06,-0.04,9.66,-0.03,-0.11,0.01,26.91,-31.67,-12.06,-0.36,0.77,-0.02,33.62,953.21,24.06,0.00,5031.00,33.00,0.00,28.00,20.00,24.00,-45.92976379,-23.24736977,597.16,0,0,0,0,0,0,0,0,
2.208115,-0.18,-0.05,9.98,0.04,0.00,0.02,41.45,11.11,-23.36,0.08,-0.05,9.60,-0.03,-0.11,0.00,26.80,-31.55,-11.54,-0.36,0.77,-0.01,33.62,953.21,24.06,-5.05,5031.00,33.00,0.00,30.00,16.00,24.00,-45.92976379,-23.24736977,597.16,0,0,0,0,0,0,0,0,
2.240795,-0.15,0.02,9.92,0.04,0.00,0.01,41.45,11.11,-23.36,0.03,-0.03,9.67,-0.03,-0.11,0.00,27.38,-30.86,-11.14,-0.36,0.78,-0.01,33.62,953.22,24.06,0.00,5037.00,33.00,0.00,30.00,20.00,24.00,-45.92976379,-23.24736977,597.16,0,0,0,0,0,0,0,0,
2.274225,-0.17,-0.07,9.99,0.04,0.00,0.01,41.45,11.11,-23.36,0.04,-0.03,9.65,-0.03,-0.11,0.00,27.78,-31.09,-11.02,-0.36,0.78,-0.01,33.62,953.22,24.06,-5.05,5025.00,33.00,0.00,30.00,20.00,22.00,-45.92976379,-23.24736977,597.16,0,0,0,0,0,0,0,0,
2.307843,-0.15,-0.15,10.08,0.04,0.00,0.01,41.45,11.11,-23.36,0.02,-0.00,9.69,-0.03,-0.11,0.01,27.14,-31.96,-12.18,-0.36,0.79,-0.01,33.62,953.22,24.06,-5.05,5022.00,33.00,0.00,26.00,24.00,22.00,-45.92976379,-23.24736977,597.16,0,0,0,0,0,0,0,0,
2.341552,-0.20,-0.09,9.92,0.04,0.00,0.01,41.45,11.11,-23.36,0.04,-0.04,9.67,-0.03,-0.11,0.00,27.43,-31.84,-11.83,-0.36,0.79,-0.01,33.62,953.22,24.06,-5.05,5022.00,33.00,0.00,26.00,22.00,24.00,-45.92976379,-23.24736977,597.16,0,0,0,0,0,0,0,0,
2.376377,-0.11,-0.06,9.99,0.03,0.01,0.01,41.45,11.11,-23.36,0.03,-0.02,9.59,-0.03,-0.11,0.01,27.09,-30.80,-11.72,-0.36,0.80,-0.02,33.62,953.22,24.06,0.00,5025.00,44.00,0.00,24.00,18.00,24.00,-45.92976379,-23.24736977,597.16,0,0,0,0,0,0,0,0,
2.409431,-0.18,-0.10,9.97,0.05,-0.00,0.01,41.45,11.11,-23.36,0.03,-0.04,9.63,-0.03,-0.12,0.01,27.61,-30.74,-10.67,-0.36,0.80,-0.01,33.62,953.22,24.06,0.00,5022.00,33.00,0.00,28.00,20.00,22.00,-45.92976379,-23.24736977,597.16,0,0,0,0,0,0,0,0,
